game,game_url,dude,rank,start_time,list,list_url
On the Underground,https://boardgamegeek.com/boardgame/24773/underground,Tom,10,4m22s,Top Ten Games only WE seem to like,https://www.youtube.com/watch?v=uIa7ksO1Y6o
SOS Titanic,https://boardgamegeek.com/boardgame/143157/sos-titanic,Zee,10,5m16s,Top Ten Games only WE seem to like,https://www.youtube.com/watch?v=uIa7ksO1Y6o
Sleuth,https://boardgamegeek.com/boardgame/594/sleuth,Tom,9,6m48s,Top Ten Games only WE seem to like,https://www.youtube.com/watch?v=uIa7ksO1Y6o
Fünf Gurken,https://boardgamegeek.com/boardgame/147768/funf-gurken,Zee,9,8m14s,Top Ten Games only WE seem to like,https://www.youtube.com/watch?v=uIa7ksO1Y6o
Aquaretto,https://boardgamegeek.com/boardgame/34194/aquaretto,Sam,9,9m45s,Top Ten Games only WE seem to like,https://www.youtube.com/watch?v=uIa7ksO1Y6o
DC Comics Deck-Building Game,https://boardgamegeek.com/boardgame/125678/dc-comics-deck-building-game,Zee,8,12m06s,Top Ten Games only WE seem to like,https://www.youtube.com/watch?v=uIa7ksO1Y6o
Gemblo,https://boardgamegeek.com/boardgame/19427/gemblo,Sam,8,13m24s,Top Ten Games only WE seem to like,https://www.youtube.com/watch?v=uIa7ksO1Y6o
Yomi,https://boardgamegeek.com/boardgame/43022/yomi,Tom,8,14m46s,Top Ten Games only WE seem to like,https://www.youtube.com/watch?v=uIa7ksO1Y6o
Pocket Rockets,https://boardgamegeek.com/boardgame/43264/pocket-rockets,Zee,7,16m52s,Top Ten Games only WE seem to like,https://www.youtube.com/watch?v=uIa7ksO1Y6o
7-Card Slugfest,https://boardgamegeek.com/boardgame/141829/7-card-slugfest,Tom,7,18m22s,Top Ten Games only WE seem to like,https://www.youtube.com/watch?v=uIa7ksO1Y6o
TransAmerica,https://boardgamegeek.com/boardgame/2842/transamerica,Sam,7,19m45s,Top Ten Games only WE seem to like,https://www.youtube.com/watch?v=uIa7ksO1Y6o
Horse Fever,https://boardgamegeek.com/boardgame/58110/horse-fever,Tom,6,21m22s,Top Ten Games only WE seem to like,https://www.youtube.com/watch?v=uIa7ksO1Y6o
Duel in the Dark,https://boardgamegeek.com/boardgame/27048/duel-dark,Sam,6,22m57s,Top Ten Games only WE seem to like,https://www.youtube.com/watch?v=uIa7ksO1Y6o
Havana,https://boardgamegeek.com/boardgame/57925/havana,Zee,6,24m39s,Top Ten Games only WE seem to like,https://www.youtube.com/watch?v=uIa7ksO1Y6o
Hooyah: Navy Seals Card Game,https://boardgamegeek.com/boardgame/128114/hooyah-navy-seals-card-game,Sam,5,27m25s,Top Ten Games only WE seem to like,https://www.youtube.com/watch?v=uIa7ksO1Y6o
Three-Dragon Ante,https://boardgamegeek.com/boardgame/20806/three-dragon-ante,Zee,5,29m22s,Top Ten Games only WE seem to like,https://www.youtube.com/watch?v=uIa7ksO1Y6o
Nuns on the Run,https://boardgamegeek.com/boardgame/65515/nuns-run,Tom,5,31m09s,Top Ten Games only WE seem to like,https://www.youtube.com/watch?v=uIa7ksO1Y6o
Asteroyds,https://boardgamegeek.com/boardgame/65200/asteroyds,Sam,4,32m50s,Top Ten Games only WE seem to like,https://www.youtube.com/watch?v=uIa7ksO1Y6o
Vabanque,https://boardgamegeek.com/boardgame/2536/vabanque,Tom,4,34m32s,Top Ten Games only WE seem to like,https://www.youtube.com/watch?v=uIa7ksO1Y6o
Kryptos,https://boardgamegeek.com/boardgame/164354/kryptos,Zee,4,36m11s,Top Ten Games only WE seem to like,https://www.youtube.com/watch?v=uIa7ksO1Y6o
Dungeon Twister,https://boardgamegeek.com/boardgame/12995/dungeon-twister,Tom,3,37m45s,Top Ten Games only WE seem to like,https://www.youtube.com/watch?v=uIa7ksO1Y6o
Factory Fun,https://boardgamegeek.com/boardgame/24417/factory-fun,Zee,3,39m58s,Top Ten Games only WE seem to like,https://www.youtube.com/watch?v=uIa7ksO1Y6o
Toledo,https://boardgamegeek.com/boardgame/34599/toledo,Sam,3,42m18s,Top Ten Games only WE seem to like,https://www.youtube.com/watch?v=uIa7ksO1Y6o
Kobayakawa,https://boardgamegeek.com/boardgame/142325/kobayakawa,Zee,2,43m35s,Top Ten Games only WE seem to like,https://www.youtube.com/watch?v=uIa7ksO1Y6o
Battue: Storm of the Horse Lords,https://boardgamegeek.com/boardgame/27823/battue-storm-horse-lords,Sam,2,45m03s,Top Ten Games only WE seem to like,https://www.youtube.com/watch?v=uIa7ksO1Y6o
Ultimate Werewolf Artifacts,https://boardgamegeek.com/boardgameexpansion/102745/ultimate-werewolf-artifacts,Tom,2,46m57s,Top Ten Games only WE seem to like,https://www.youtube.com/watch?v=uIa7ksO1Y6o
Gone Viking!,https://boardgamegeek.com/boardgame/153038/gone-viking,Zee,1,49m23s,Top Ten Games only WE seem to like,https://www.youtube.com/watch?v=uIa7ksO1Y6o
Duel of Ages II,https://boardgamegeek.com/boardgame/129459/duel-ages-ii,Tom,1,52m,Top Ten Games only WE seem to like,https://www.youtube.com/watch?v=uIa7ksO1Y6o
Eruption,https://boardgamegeek.com/boardgame/88594/eruption,Sam,1,53m26s,Top Ten Games only WE seem to like,https://www.youtube.com/watch?v=uIa7ksO1Y6o
Gemblo,https://boardgamegeek.com/boardgame/19427/gemblo,Sam,10,3m45s,Top Ten Essential Games EVERY Gamer Should Own,https://www.youtube.com/watch?v=gMqgifAkR_Y
The Pillars of the Earth,https://boardgamegeek.com/boardgame/24480/pillars-earth,Tom,10,5m13s,Top Ten Essential Games EVERY Gamer Should Own,https://www.youtube.com/watch?v=gMqgifAkR_Y
Telestrations,https://boardgamegeek.com/boardgame/46213/telestrations,Zee,10,5m22s,Top Ten Essential Games EVERY Gamer Should Own,https://www.youtube.com/watch?v=gMqgifAkR_Y
Summoner Wars,https://boardgamegeek.com/boardgame/58281/summoner-wars,Tom,9,6m36s,Top Ten Essential Games EVERY Gamer Should Own,https://www.youtube.com/watch?v=gMqgifAkR_Y
Biblios,https://boardgamegeek.com/boardgame/34219/biblios,Zee,9,6m48s,Top Ten Essential Games EVERY Gamer Should Own,https://www.youtube.com/watch?v=gMqgifAkR_Y
Kahuna,https://boardgamegeek.com/boardgame/394/kahuna,Sam,9,8m02s,Top Ten Essential Games EVERY Gamer Should Own,https://www.youtube.com/watch?v=gMqgifAkR_Y
Tzaar,https://boardgamegeek.com/boardgame/31999/tzaar,Zee,8,8m55s,Top Ten Essential Games EVERY Gamer Should Own,https://www.youtube.com/watch?v=gMqgifAkR_Y
Say Anything,https://boardgamegeek.com/boardgame/33604/say-anything,Sam,8,9m59s,Top Ten Essential Games EVERY Gamer Should Own,https://www.youtube.com/watch?v=gMqgifAkR_Y
Dominion,https://boardgamegeek.com/boardgame/36218/dominion,Tom,8,11m27s,Top Ten Essential Games EVERY Gamer Should Own,https://www.youtube.com/watch?v=gMqgifAkR_Y
Nexus Ops,https://boardgamegeek.com/boardgame/15363/nexus-ops,Zee,7,14m12s,Top Ten Essential Games EVERY Gamer Should Own,https://www.youtube.com/watch?v=gMqgifAkR_Y
The Resistance,https://boardgamegeek.com/boardgame/41114/resistance,Tom,7,15m,Top Ten Essential Games EVERY Gamer Should Own,https://www.youtube.com/watch?v=gMqgifAkR_Y
Small World,https://boardgamegeek.com/boardgame/40692/small-world,Sam,7,16m36s,Top Ten Essential Games EVERY Gamer Should Own,https://www.youtube.com/watch?v=gMqgifAkR_Y
Lost Cities,https://boardgamegeek.com/boardgame/50/lost-cities,Tom,6,19m03s,Top Ten Essential Games EVERY Gamer Should Own,https://www.youtube.com/watch?v=gMqgifAkR_Y
Jamaica,https://boardgamegeek.com/boardgame/28023/jamaica,Sam,6,20m24s,Top Ten Essential Games EVERY Gamer Should Own,https://www.youtube.com/watch?v=gMqgifAkR_Y
Werewolf,https://boardgamegeek.com/boardgame/925/werewolf,Zee,6,20m35s,Top Ten Essential Games EVERY Gamer Should Own,https://www.youtube.com/watch?v=gMqgifAkR_Y
Summoner Wars,https://boardgamegeek.com/boardgame/58281/summoner-wars,Sam,5,21m58s,Top Ten Essential Games EVERY Gamer Should Own,https://www.youtube.com/watch?v=gMqgifAkR_Y
Jamaica,https://boardgamegeek.com/boardgame/28023/jamaica,Zee,5,25m09s,Top Ten Essential Games EVERY Gamer Should Own,https://www.youtube.com/watch?v=gMqgifAkR_Y
Wits & Wagers,https://boardgamegeek.com/boardgame/20100/wits-wagers,Tom,5,27m57s,Top Ten Essential Games EVERY Gamer Should Own,https://www.youtube.com/watch?v=gMqgifAkR_Y
King of Tokyo,https://boardgamegeek.com/boardgame/70323/king-tokyo,Tom,4,29m28s,Top Ten Essential Games EVERY Gamer Should Own,https://www.youtube.com/watch?v=gMqgifAkR_Y
King of Tokyo,https://boardgamegeek.com/boardgame/70323/king-tokyo,Sam,4,29m36s,Top Ten Essential Games EVERY Gamer Should Own,https://www.youtube.com/watch?v=gMqgifAkR_Y
Shadows over Camelot,https://boardgamegeek.com/boardgame/15062/shadows-over-camelot,Zee,4,29m51s,Top Ten Essential Games EVERY Gamer Should Own,https://www.youtube.com/watch?v=gMqgifAkR_Y
Stone Age,https://boardgamegeek.com/boardgame/34635/stone-age,Sam,3,30m12s,Top Ten Essential Games EVERY Gamer Should Own,https://www.youtube.com/watch?v=gMqgifAkR_Y
No Thanks!,https://boardgamegeek.com/boardgame/12942/no-thanks,Tom,3,31m42s,Top Ten Essential Games EVERY Gamer Should Own,https://www.youtube.com/watch?v=gMqgifAkR_Y
Factory Fun,https://boardgamegeek.com/boardgame/24417/factory-fun,Zee,3,33m46s,Top Ten Essential Games EVERY Gamer Should Own,https://www.youtube.com/watch?v=gMqgifAkR_Y
Ticket to Ride,https://boardgamegeek.com/boardgame/9209/ticket-ride,Tom,2,36m12s,Top Ten Essential Games EVERY Gamer Should Own,https://www.youtube.com/watch?v=gMqgifAkR_Y
Shadows over Camelot,https://boardgamegeek.com/boardgame/15062/shadows-over-camelot,Sam,2,36m25s,Top Ten Essential Games EVERY Gamer Should Own,https://www.youtube.com/watch?v=gMqgifAkR_Y
King of Tokyo,https://boardgamegeek.com/boardgame/70323/king-tokyo,Zee,2,38m44s,Top Ten Essential Games EVERY Gamer Should Own,https://www.youtube.com/watch?v=gMqgifAkR_Y
Ticket to Ride,https://boardgamegeek.com/boardgame/9209/ticket-ride,Sam,1,40m45s,Top Ten Essential Games EVERY Gamer Should Own,https://www.youtube.com/watch?v=gMqgifAkR_Y
The Pillars of the Earth,https://boardgamegeek.com/boardgame/24480/pillars-earth,Zee,1,43m56s,Top Ten Essential Games EVERY Gamer Should Own,https://www.youtube.com/watch?v=gMqgifAkR_Y
Pandemic,https://boardgamegeek.com/boardgame/30549/pandemic,Tom,1,47m05s,Top Ten Essential Games EVERY Gamer Should Own,https://www.youtube.com/watch?v=gMqgifAkR_Y
Lifeboats,https://boardgamegeek.com/boardgame/249/lifeboats,,10,2m07s,Top Ten Player Elimination Games,https://www.youtube.com/watch?v=NuICh2NvECc
